id|roadmap_id|lat_start|long_start|bus_id
1|4058|6.198901628|-75.55939876|1
2|40483|6.199706801|-75.5613930769|1
3|4176|6.199860766|-75.562094663|1
4|40465|6.199095956|-75.562436895|1
5|4096|6.199263891|-75.562994566|1
6|40451|6.198415366|-75.5633732599|1
7|4154|6.199661023|-75.564828746|1
8|40452|6.198553459|-75.565304948|1
9|40456|6.198846446|-75.565996748|1
10|4084|6.199115412|-75.566595056|1
11|4025|6.198555103|-75.567757488|1
12|3939|6.197572887|-75.568284003|1
13|3994|6.198271531|-75.569132299|1
14|4080|6.199099513|-75.568468262|1
15|40469|6.199310886|-75.56901135|1
16|40479|6.199644243|-75.569633445|1
17|40495|6.199903353|-75.570109311|1
18|40513|6.200429254|-75.571305884|1
19|40532|6.200863407|-75.572501265|1
20|4569|6.203342672|-75.571623576|1
21|40638|6.205669611|-75.571372294|1
22|40655|6.206261672|-75.571465234|1
23|40747|6.208829566|-75.57094546|1
24|40776|6.209703889|-75.57063566|1
25|40812|6.210485273|-75.570343071|1
26|40834|6.211060122|-75.5701262119|1
27|5532|6.211120902|-75.570103355|1
28|40842|6.211263056|-75.5700498969|1
29|40856|6.211563741|-75.569970809|1
30|40885|6.212099673|-75.56990591|1
31|5744|6.212701334|-75.569885297|1
32|40915|6.212977438|-75.56987493|1
33|40978|6.214578132|-75.569873008|1
34|41022|6.21659865|-75.569854276|1
35|41073|6.218956783|-75.569566696|1
36|41104|6.220059853|-75.569336332|1
37|41193|6.222168158|-75.569203697|1
38|41214|6.222687932|-75.569127969|1
39|41262|6.223603562|-75.569103874|1
40|41314|6.224671717|-75.569148905|1
41|7374|6.225682661|-75.569136403|1
42|7706|6.227292447|-75.569328574|1
43|7771|6.227502432|-75.569401266|1
44|7771|6.227502432|-75.569401266|1
45|7808|6.227678739|-75.569592045|1
46|41556|6.228528065|-75.570740412|1
47|41617|6.229072345|-75.571445061|1
48|8505|6.230158513|-75.572965425|1
49|41722|6.23030619|-75.573140901|1
50|41749|6.230811095|-75.5737955399|1
51|41888|6.231808799|-75.574442058|1
52|42015|6.232879628|-75.574348667|1
53|9623|6.233535171|-75.574302479|1
54|42296|6.23542702|-75.573608626|1
55|42397|6.236165953|-75.573309188|1
56|42514|6.237273807|-75.572835571|1
